Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Province,Island,Special Status,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/16/2020,Kalimantan Timur,1,0,0,1,6,0,2,4,Kalimantan Timur,Kalimantan,,3,103,197,841,129067,3552191,27.52,0.28,1.69,0,0,0,0.3333,0.5,1
3/16/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
3/16/2020,Sulawesi Tenggara,2,0,0,2,3,0,0,3,Sulawesi Tenggara,Sulawesi,,2,219,377,1911,38068,2635461,69.23,0.76,1.14,0,0,0,0,,1
3/17/2020,Bali,0,0,0,0,1,1,3,-3,Bali,Nusa Tenggara,,1,57,80,636,5780,4216171,729.43,0,0.24,0,0.24,1,3,1,1
3/17/2020,Banten,0,1,3,-4,6,8,109,-111,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0,0.56,0.09,0.75,1.3333,18.1667,0,
3/17/2020,DKI Jakarta,2,1,0,1,65,34,49,-18,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.18,5.99,0.09,3.13,0.5231,0.7538,1,0.33
3/17/2020,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,Daerah Istimewa Yogyakarta,Jawa,Daerah Istimewa,1,78,46,392,3133,3631015,1158.9,0,0.28,0,0,0,1,0,1
3/17/2020,Indonesia,38,0,1,37,172,5,9,158,,,,98,7230,8488,74953,1916907,265185520,138.34,0.14,0.65,0,0.02,0.0291,0.0523,2.24,1
3/17/2020,Jawa Barat,11,0,0,11,20,2,13,5,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.24,0.44,0,0.04,0.1,0.65,,1
3/17/2020,Jawa Tengah,1,0,1,0,8,9,12,-13,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0.03,0.22,0,0.25,1.125,1.5,1,1
3/17/2020,Kalimantan Timur,1,0,0,1,7,0,2,5,Kalimantan Timur,Kalimantan,,3,103,197,841,129067,3552191,27.52,0.28,1.97,0,0,0,0.2857,1,1
3/17/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
3/17/2020,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Sulawesi Tenggara,Sulawesi,,2,219,377,1911,38068,2635461,69.23,0,1.14,0,0,0,0,0,1
3/17/2020,Sumatera Utara,1,1,0,0,1,1,0,0,Sumatera Utara,Sumatera,,8,450,693,5417,72981,14874889,203.82,0.07,0.07,0.07,0.07,1,0,,
3/18/2020,Bali,0,0,0,0,1,1,3,-3,Bali,Nusa Tenggara,,1,57,80,636,5780,4216171,729.43,0,0.24,0,0.24,1,3,1,1
3/18/2020,Banten,0,1,1,-2,6,9,110,-113,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0,0.56,0.09,0.84,1.5,18.3333,1,1
3/18/2020,DKI Jakarta,1,1,0,0,66,35,49,-18,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.09,6.09,0.09,3.23,0.5303,0.7424,0.5,1
3/18/2020,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,Daerah Istimewa Yogyakarta,Jawa,Daerah Istimewa,1,78,46,392,3133,3631015,1158.9,0,0.28,0,0,0,1,1,1
3/18/2020,Indonesia,55,14,2,39,227,19,11,197,,,,98,7230,8488,74953,1916907,265185520,138.34,0.21,0.86,0.05,0.07,0.0837,0.0485,1.45,
3/18/2020,Jawa Barat,4,1,2,1,24,3,15,6,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.09,0.53,0.02,0.07,0.125,0.625,0.36,
3/18/2020,Jawa Tengah,3,1,0,2,11,10,12,-11,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0.08,0.3,0.03,0.27,0.9091,1.0909,3,
3/18/2020,Jawa Timur,7,1,0,6,18,33,215,-230,Jawa Timur,Jawa,,9,666,777,7724,47803,40479023,846.78,0.17,0.44,0.02,0.82,1.8333,11.9444,,
3/18/2020,Kalimantan Timur,0,0,0,0,7,0,2,5,Kalimantan Timur,Kalimantan,,3,103,197,841,129067,3552191,27.52,0,1.97,0,0,0,0.2857,0,1
3/18/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
3/18/2020,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Sulawesi Tenggara,Sulawesi,,2,219,377,1911,38068,2635461,69.23,0,1.14,0,0,0,0,1,1
3/18/2020,Sumatera Utara,0,0,0,0,1,1,0,0,Sumatera Utara,Sumatera,,8,450,693,5417,72981,14874889,203.82,0,0.07,0,0.07,1,0,0,0
3/19/2020,Bali,1,1,0,0,2,2,3,-3,Bali,Nusa Tenggara,,1,57,80,636,5780,4216171,729.43,0.24,0.47,0.24,0.47,1,1.5,,
3/19/2020,Banten,0,1,3,-4,6,10,113,-117,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0,0.56,0.09,0.93,1.6667,18.8333,1,1
3/19/2020,DKI Jakarta,2,0,1,1,68,35,50,-17,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.18,6.27,0,3.23,0.5147,0.7353,2,0
3/19/2020,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,Daerah Istimewa Yogyakarta,Jawa,Daerah Istimewa,1,78,46,392,3133,3631015,1158.9,0,0.28,0,0,0,1,1,1
3/19/2020,Indonesia,82,6,4,72,309,25,15,269,,,,98,7230,8488,74953,1916907,265185520,138.34,0.31,1.17,0.02,0.09,0.0809,0.0485,1.49,0.43
3/19/2020,Jawa Barat,5,1,1,3,29,4,16,9,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.11,0.64,0.02,0.09,0.1379,0.5517,1.25,1
3/19/2020,Jawa Tengah,2,0,0,2,13,10,12,-9,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0.05,0.36,0,0.27,0.7692,0.9231,0.67,0
3/19/2020,Jawa Timur,3,0,0,3,21,33,215,-227,Jawa Timur,Jawa,,9,666,777,7724,47803,40479023,846.78,0.07,0.52,0,0.82,1.5714,10.2381,0.43,0
3/19/2020,Kalimantan Timur,0,0,0,0,7,0,2,5,Kalimantan Timur,Kalimantan,,3,103,197,841,129067,3552191,27.52,0,1.97,0,0,0,0.2857,1,1
3/19/2020,Kepulauan Riau,1,1,0,0,1,1,0,0,Kepulauan Riau,Sumatera,,2,75,142,275,8202,1929400,235.24,0.52,0.52,0.52,0.52,1,0,,
3/19/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
3/19/2020,Sulawesi Selatan,2,0,0,2,2,0,1,1,Sulawesi Selatan,Sulawesi,,3,311,792,2255,46717,9426885,201.78,0.21,0.21,0,0,0,0.5,,
3/19/2020,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Sulawesi Tenggara,Sulawesi,,2,219,377,1911,38068,2635461,69.23,0,1.14,0,0,0,0,1,1
3/19/2020,Sumatera Utara,0,0,0,0,1,1,0,0,Sumatera Utara,Sumatera,,8,450,693,5417,72981,14874889,203.82,0,0.07,0,0.07,1,0,1,1
3/20/2020,Bali,0,0,0,0,2,2,3,-3,Bali,Nusa Tenggara,,1,57,80,636,5780,4216171,729.43,0,0.47,0,0.47,1,1.5,0,0
3/20/2020,Banten,0,3,3,-6,6,13,116,-123,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0,0.56,0.28,1.21,2.1667,19.3333,1,3
3/20/2020,DKI Jakarta,5,3,1,1,73,38,51,-16,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.46,6.73,0.28,3.5,0.5205,0.6986,2.5,
3/20/2020,Daerah Istimewa Yogyakarta,1,0,1,0,2,0,2,0,Daerah Istimewa Yogyakarta,Jawa,Daerah Istimewa,1,78,46,392,3133,3631015,1158.9,0.28,0.55,0,0,0,1,,1
3/20/2020,Indonesia,60,7,2,51,369,32,17,320,,,,98,7230,8488,74953,1916907,265185520,138.34,0.23,1.39,0.03,0.12,0.0867,0.0461,0.73,1.17
3/20/2020,Jambi,1,0,0,1,1,0,0,1,Jambi,Sumatera,,2,141,163,1399,50058,3493357,69.79,0.29,0.29,0,0,0,0,,
3/20/2020,Jawa Barat,16,4,0,12,45,8,16,21,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.35,1,0.09,0.18,0.1778,0.3556,3.2,4
3/20/2020,Jawa Tengah,4,0,1,3,17,10,13,-6,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0.11,0.47,0,0.27,0.5882,0.7647,2,1
3/20/2020,Jawa Timur,9,0,0,9,30,33,215,-218,Jawa Timur,Jawa,,9,666,777,7724,47803,40479023,846.78,0.22,0.74,0,0.82,1.1,7.1667,3,1
3/20/2020,Kalimantan Timur,0,0,0,0,7,0,2,5,Kalimantan Timur,Kalimantan,,3,103,197,841,129067,3552191,27.52,0,1.97,0,0,0,0.2857,1,1
3/20/2020,Kepulauan Riau,0,0,0,0,1,1,0,0,Kepulauan Riau,Sumatera,,2,75,142,275,8202,1929400,235.24,0,0.52,0,0.52,1,0,0,0
3/20/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
3/20/2020,Sulawesi Selatan,0,0,0,0,2,0,1,1,Sulawesi Selatan,Sulawesi,,3,311,792,2255,46717,9426885,201.78,0,0.21,0,0,0,0.5,0,1
3/20/2020,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Sulawesi Tenggara,Sulawesi,,2,219,377,1911,38068,2635461,69.23,0,1.14,0,0,0,0,1,1
3/20/2020,Sumatera Utara,0,0,0,0,1,1,0,0,Sumatera Utara,Sumatera,,8,450,693,5417,72981,14874889,203.82,0,0.07,0,0.07,1,0,1,1
3/21/2020,Bali,0,0,0,0,2,2,3,-3,Bali,Nusa Tenggara,,1,57,80,636,5780,4216171,729.43,0,0.47,0,0.47,1,1.5,1,1
3/21/2020,Banten,0,0,2,-2,6,13,118,-125,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0,0.56,0,1.21,2.1667,19.6667,1,0
