,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Increasing,New Cases EMA,New Cases Difference,New Deaths EMA,New Deaths Difference,New Recovered EMA,New Recovered Difference
233,2020-10-21,Indonesia,4267,123,3856,288,373109,12857,297509,62743,1,3933.683327692291,333.3166723077088,99.70706110570686,23.292938894293144,4152.552259019736,-296.5522590197361
234,2020-10-22,Indonesia,4432,102,3497,833,377541,12959,301006,63576,1,4000.346662153833,431.6533378461668,104.3656488845655,-2.365648884565502,4093.241807215789,-596.2418072157889
235,2020-10-23,Indonesia,4369,118,4094,157,381910,13077,305100,63733,0,4086.677329723067,282.32267027693297,103.89251910765242,14.107480892347581,3973.9934457726313,120.00655422736872
236,2020-10-24,Indonesia,4070,128,4119,-177,385980,13205,309219,63556,0,4143.141863778454,-73.14186377845363,106.71401528612193,21.285984713878065,3997.9947566181054,121.00524338189462
237,2020-10-25,Indonesia,3732,94,4545,-907,389712,13299,313764,62649,0,4128.5134910227625,-396.51349102276254,110.97121222889754,-16.971212228897542,4022.1958052944847,522.8041947055153
238,2020-10-26,Indonesia,3222,112,3908,-798,392934,13411,317672,61851,0,4049.2107928182104,-827.2107928182104,107.57696978311803,4.423030216881969,4126.756644235587,-218.75664423558737
239,2020-10-27,Indonesia,3520,101,4576,-1157,396454,13512,322248,60694,1,3883.7686342545685,-363.7686342545685,108.46157582649444,-7.461575826494439,4083.00531538847,492.9946846115299
240,2020-10-28,Indonesia,4029,100,3545,384,400483,13612,325793,61078,1,3811.014907403655,217.9850925963451,106.96926066119556,-6.9692606611955625,4181.604252310776,-636.6042523107762
241,2020-10-29,Indonesia,3565,89,3985,-509,404048,13701,329778,60569,0,3854.6119259229245,-289.61192592292446,105.57540852895646,-16.57540852895646,4054.283401848621,-69.283401848621
242,2020-10-30,Indonesia,2897,81,4517,-1701,406945,13782,334295,58868,0,3796.68954073834,-899.6895407383399,102.26032682316517,-21.260326823165173,4040.426721478897,476.573278521103
243,2020-10-31,Indonesia,3143,87,3506,-450,410088,13869,337801,58418,1,3616.751632590672,-473.7516325906722,98.00826145853215,-11.008261458532147,4135.741377183118,-629.741377183118
244,2020-11-01,Indonesia,2696,74,4141,-1519,412784,13943,341942,56899,0,3522.001306072538,-826.0013060725378,95.80660916682572,-21.806609166825723,4009.7931017464944,131.20689825350564
245,2020-11-02,Indonesia,2618,101,3624,-1107,415402,14044,345566,55792,0,3356.8010448580308,-738.8010448580308,91.44528733346058,9.554712666539416,4036.034481397196,-412.03448139719603
246,2020-11-03,Indonesia,2973,102,3931,-1060,418375,14146,349497,54732,1,3209.0408358864247,-236.0408358864247,93.35622986676847,8.643770133231527,3953.627585117757,-22.627585117757008
247,2020-11-04,Indonesia,3356,113,3785,-542,421731,14259,353282,54190,1,3161.83266870914,194.16733129086015,95.08498389341479,17.915016106585213,3949.1020680942056,-164.1020680942056
248,2020-11-05,Indonesia,4065,89,3860,116,425796,14348,357142,54306,1,3200.6661349673122,864.3338650326878,98.66798711473183,-9.66798711473183,3916.2816544753646,-56.281654475364576
249,2020-11-06,Indonesia,3778,94,3563,121,429574,14442,360705,54427,0,3373.53290797385,404.4670920261501,96.73438969178547,-2.7343896917854664,3905.025323580292,-342.025323580292
250,2020-11-07,Indonesia,4262,98,3712,452,433836,14540,364417,54879,1,3454.42632637908,807.5736736209201,96.18751175342838,1.8124882465716183,3836.6202588642336,-124.62025886423362
251,2020-11-08,Indonesia,3880,74,3881,-75,437716,14614,368298,54804,0,3615.941061103264,264.058938896736,96.55000940274272,-22.550009402742717,3811.6962070913874,69.30379290861265
252,2020-11-09,Indonesia,2853,75,3968,-1190,440569,14689,372266,53614,0,3668.7528488826115,-815.7528488826115,92.04000752219417,-17.040007522194173,3825.5569656731104,142.44303432688957
253,2020-11-10,Indonesia,3779,72,3475,232,444348,14761,375741,53846,1,3505.602279106089,273.3977208939109,88.63200601775534,-16.632006017755344,3854.0455725384886,-379.0455725384886
254,2020-11-11,Indonesia,3770,75,3241,454,448118,14836,378982,54300,0,3560.2818232848717,209.71817671512827,85.30560481420429,-10.305604814204287,3778.2364580307913,-537.2364580307913
255,2020-11-12,Indonesia,4173,97,3102,974,452291,14933,382084,55274,1,3602.2254586278978,570.7745413721022,83.24448385136343,13.755516148636573,3670.7891664246335,-568.7891664246335
256,2020-11-13,Indonesia,5444,104,3010,2330,457735,15037,385094,57604,1,3716.380366902318,1727.6196330976818,85.99558708109075,18.004412918909253,3557.031333139707,-547.0313331397069
257,2020-11-14,Indonesia,5272,111,3000,2161,463007,15148,388094,59765,0,4061.904293521855,1210.095706478145,89.5964696648726,21.4035303351274,3447.625066511766,-447.6250665117659
258,2020-11-15,Indonesia,4106,63,3897,146,467113,15211,391991,59911,0,4303.923434817484,-197.92343481748412,93.87717573189809,-30.87717573189809,3358.100053209413,538.8999467905869
259,2020-11-16,Indonesia,3535,85,3452,-2,470648,15296,395443,59909,0,4264.338747853987,-729.3387478539871,87.70174058551848,-2.701740585518479,3465.880042567531,-13.880042567530836
260,2020-11-17,Indonesia,3807,97,3193,517,474455,15393,398636,60426,1,4118.47099828319,-311.47099828319006,87.16139246841479,9.838607531585211,3463.104034054025,-270.10403405402485
261,2020-11-18,Indonesia,4265,110,3711,444,478720,15503,402347,60870,1,4056.176798626552,208.82320137344777,89.12911397473184,20.870886025268163,3409.08322724322,301.9167727567801
262,2020-11-19,Indonesia,4798,97,4265,436,483518,15600,406612,61306,1,4097.941438901242,700.0585610987582,93.30329117978548,3.696708820214525,3469.466581794576,795.5334182054239
263,2020-11-20,Indonesia,4792,78,3940,774,488310,15678,410552,62080,0,4237.953151120993,554.0468488790066,94.0426329438284,-16.042632943828394,3628.573265435661,311.42673456433886
264,2020-11-21,Indonesia,4998,96,3403,1499,493308,15774,413955,63579,1,4348.762520896795,649.2374791032053,90.83410635506272,5.1658936449372845,3690.8586123485293,-287.8586123485293
265,2020-11-22,Indonesia,4360,110,4233,17,497668,15884,418188,63596,0,4478.610016717436,-118.61001671743634,91.86728508405018,18.13271491594982,3633.2868898788233,599.7131101211767
266,2020-11-23,Indonesia,4442,118,4198,126,502110,16002,422386,63722,1,4454.888013373949,-12.888013373949434,95.49382806724014,22.506171932759855,3753.2295119030587,444.77048809694134
267,2020-11-24,Indonesia,4192,109,2927,1156,506302,16111,425313,64878,0,4452.31041069916,-260.31041069915955,99.99506245379212,9.004937546207884,3842.183609522447,-915.1836095224471
268,2020-11-25,Indonesia,5534,114,4494,926,511836,16225,429807,65804,1,4400.248328559328,1133.751671440672,101.7960499630337,12.203950036966305,3659.146887617958,834.8531123820421
269,2020-11-26,Indonesia,4917,127,3842,948,516753,16352,433649,66752,0,4626.998662847463,290.0013371525374,104.23683997042696,22.763160029573044,3826.1175100943665,15.88248990563352
270,2020-11-27,Indonesia,5828,169,3807,1852,522581,16521,437456,68604,1,4684.99893027797,1143.0010697220296,108.78947197634157,60.210528023658426,3829.2940080754934,-22.294008075493366
271,2020-11-28,Indonesia,5418,125,4527,766,527999,16646,441983,69370,0,4913.599144222377,504.4008557776233,120.83157758107328,4.168422418926724,3824.835206460395,702.164793539605
272,2020-11-29,Indonesia,6267,169,3810,2288,534266,16815,445793,71658,1,5014.479315377902,1252.520684622098,121.66526206485862,47.334737935141376,3965.2681651683165,-155.2681651683165
273,2020-11-30,Indonesia,4617,130,4725,-238,538883,16945,450518,71420,0,5264.983452302322,-647.9834523023219,131.1322096518869,-1.1322096518869103,3934.2145321346534,790.7854678653466
274,2020-12-01,Indonesia,5092,136,4361,595,543975,17081,454879,72015,1,5135.386761841857,-43.38676184185715,130.90576772150953,5.094232278490466,4092.371625707723,268.62837429227693
