,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Area (km2),Population,Population Density,Increasing
224,2020-03-26,Jawa Barat,5.0,1.0,0.0,4,71,18,20,33,35378,45161325,1276.55,1
225,2020-03-26,Papua,4.0,0.0,0.0,4,6,1,1,4,319036,4340348,13.6,0
226,2020-03-26,Sumatera Utara,0.0,0.0,0.0,0,1,1,0,0,72981,14874889,203.82,0
227,2020-03-26,DKI Jakarta,57.0,2.0,0.0,55,157,63,63,31,664,10846145,16334.31,1
228,2020-03-26,Kalimantan Tengah,2.0,0.0,0.0,2,2,1,39,-38,153565,2570289,16.74,0
229,2020-03-26,Banten,0.0,0.0,4.0,-4,6,19,131,-144,9663,10722374,1109.64,0
230,2020-03-26,Kalimantan Timur,0.0,0.0,0.0,0,8,0,2,6,129067,3552191,27.52,0
231,2020-03-26,Kepulauan Riau,0.0,0.0,0.0,0,1,1,0,0,8202,1929400,235.24,0
232,2020-03-26,Lampung,2.0,0.0,0.0,2,2,1,0,1,34624,9095591,262.7,0
233,2020-03-26,Sumatera Barat,3.0,0.0,0.0,3,3,0,1,2,42013,5519245,131.37,0
234,2020-03-26,Sulawesi Selatan,14.0,0.0,0.0,14,27,1,1,25,46717,9426885,201.78,1
235,2020-03-26,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
236,2020-03-26,Sulawesi Tengah,1.0,0.0,0.0,1,1,0,0,1,61841,2955567,47.79,0
237,2020-03-26,Sulawesi Utara,1.0,0.0,1.0,0,1,0,1,0,13892,2641884,190.17,0
238,2020-03-27,Sumatera Utara,0.0,1.0,0.0,-1,1,2,0,-1,72981,14874889,203.82,0
239,2020-03-27,Kalimantan Tengah,0.0,0.0,0.0,0,2,1,39,-38,153565,2570289,16.74,0
240,2020-03-27,Kalimantan Timur,0.0,0.0,0.0,0,8,0,2,6,129067,3552191,27.52,0
241,2020-03-27,Daerah Istimewa Yogyakarta,1.0,0.0,0.0,1,4,2,2,0,3133,3631015,1158.9,0
242,2020-03-27,Maluku,0.0,0.0,0.0,0,1,0,0,1,46914,1847097,39.37,0
243,2020-03-27,Aceh,3.0,0.0,0.0,3,4,0,0,4,57956,5247257,90.54,1
244,2020-03-27,Sumatera Barat,2.0,0.0,0.0,2,5,0,1,4,42013,5519245,131.37,0
245,2020-03-27,Jawa Barat,16.0,3.0,1.0,12,87,21,21,45,35378,45161325,1276.55,1
246,2020-03-27,Jawa Timur,3.0,1.0,0.0,2,83,38,216,-171,47803,40479023,846.78,0
247,2020-03-27,Maluku Utara,0.0,0.0,0.0,0,1,0,2,-1,31983,1307803,40.89,0
248,2020-03-27,Sumatera Selatan,0.0,0.0,0.0,0,1,2,1,-2,91592,8217551,89.72,0
249,2020-03-27,Jambi,0.0,0.0,0.0,0,1,0,0,1,50058,3493357,69.79,0
250,2020-03-27,Jawa Tengah,8.0,1.0,1.0,6,60,14,18,28,32801,36364072,1108.64,1
251,2020-03-27,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
252,2020-03-27,Banten,25.0,2.0,3.0,20,31,21,134,-124,9663,10722374,1109.64,0
253,2020-03-27,Papua,0.0,0.0,0.0,0,6,1,1,4,319036,4340348,13.6,0
254,2020-03-27,Bali,0.0,0.0,0.0,0,2,2,3,-3,5780,4216171,729.43,0
255,2020-03-27,Sulawesi Selatan,2.0,0.0,0.0,2,29,1,1,27,46717,9426885,201.78,0
256,2020-03-27,Sulawesi Tengah,0.0,0.0,0.0,0,1,0,0,1,61841,2955567,47.79,0
